records;tweet;hashtag;mentions;reply;like;retweet;date;time
231;Play for a legend. Win for the legacy.  #justdoitpic.twitter.com/0A02bpLeUv;['justdoit'];;307.0;15000;15000; 6 Apr 2015;8:22 PM
232;Why come back with so many questions about coming back? #DebutofPG13pic.twitter.com/MmZ3DVap81;['DebutofPG13'];;27.0;919;610; 5 Apr 2015;4:10 PM
233;Don’t just dream. #justdoithttp://gonike.me/6018Nhyj ;['justdoit'];;1700.0;26000;25000; 5 Apr 2015;2:29 PM
234;Get in a routine. Not a rut.;;;49.0;2200;1600; 30 Mar 2015;7:30 AM
235;Connect with a network of elite Nike Trainers from around the world. What can we do for you? http://nike.com/trainers https://amp.twimg.com/v/7132eb61-d06a-4a78-9e00-5c85854ee676 …;;;31.0;502;263; 27 Mar 2015;10:01 AM
236;. @KingJames Witnessed. #airmaxdaypic.twitter.com/Nfz3lWs7uX;['airmaxday'];['KingJames'];45.0;1300;727; 26 Mar 2015;12:06 PM
237;. @RoystonLim_ Groundbreaking Air. #airmaxdaypic.twitter.com/9hVuvNX2mA;['airmaxday'];['RoystonLim_'];35.0;873;591; 26 Mar 2015;11:08 AM
238;The revolution continues. #airmaxday;['airmaxday'];;61.0;1300;871; 26 Mar 2015;8:15 AM
239;On Air 3.26. #airmaxday;['airmaxday'];;46.0;1000;696; 24 Mar 2015;4:54 PM
240;The clock is ticking.;;;107.0;2000;1900; 23 Mar 2015;7:30 AM
241;A day has enough hours. You just have too many excuses.;;;146.0;3200;3300; 16 Mar 2015;7:30 AM
242;Back to the blueprint. #airmaxhttps://amp.twimg.com/v/0449c772-b337-475b-9a4d-a020dc7382a4 …;['airmax'];;119.0;1100;920; 16 Mar 2015;6:59 AM
243;There is no way to return the serve if you are not facing it. #serenareturns @serenawilliamspic.twitter.com/QVVYS7UjVT;['serenareturns'];['serenawilliams'];59.0;1000;649; 13 Mar 2015;10:00 AM
244;Shopping your Instagram favorites just got easier. The Nike Women’s Instagram shop is here. http://gonike.me/6016FAxn pic.twitter.com/7HcrYPZgoL;;;32.0;528;195; 12 Mar 2015;9:55 AM
245;You have to get good before you are good. #betterforitpic.twitter.com/pv7z19tzKt;['betterforit'];;25.0;697;387; 9 Mar 2015;4:30 PM
246;Today is a starting block. Not a stumbling block. #justdoit;['justdoit'];;53.0;1500;1200; 9 Mar 2015;7:30 AM
247;We all sweat in the same language. #womensday;['womensday'];;49.0;1800;1100; 8 Mar 2015;8:00 AM
